Tweet Scraped,Username,Description,Location,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text,Hashtags Used
334,Qais0402,Engineer I Shuttler I Nature Lover,Lucknow,570,626,43348,1,"Only for those people who qualified from what’s up university.

#T20WorldCup2022final #SGXNIFTY #GujaratElections https://t.co/AtDq1q5pUp","['T20WorldCup2022final', 'SGXNIFTY', 'GujaratElections']"
335,Oneindia,"https://t.co/30Gam1jIun is a gamut of online resources. From breaking stories, top news, current affairs to sports update, movies & entertainment.",India,167,66829,441666,0,"Missing @AamAadmiParty candidate withdraws nomination, @msisodia claims was 'forced by BJP'

#GujaratElections2022 #GujaratElections #AssemblyElections2022 #AamAadmiParty #ManishSisodia 

https://t.co/5eiNJ7cX3T","['GujaratElections2022', 'GujaratElections', 'AssemblyElections2022', 'AamAadmiParty', 'ManishSisodia']"
339,shikhar_bjp,"II राष्ट्रवादी ।। हिंदू || पूर्वांचली।।                                
                         
Social || Political || Environmental ||",New Delhi || Patna,1352,1039,50073,0,"@ANI Now you are talking @msisodia ji😂

Now you know that you are not winning election in #Gujarat so let's blame bjp for kidnapping candidate.
By the time voting starts you will alleged that EVM has been hacked
#GujaratElections2022
#GujaratElections 

@TajinderBagga 
@Shehzad_Ind","['Gujarat', 'GujaratElections2022', 'GujaratElections']"
349,mallu_andolan,"Hospitality Consultant
Views & RT personal and YES not connected to Maharashtra Tourism",fort kochi,2482,2379,49487,0,@kirti_sd Frightening absolutely terrified #Morbi #morbitragedy #GujaratElections not a single admission or arrest of the ajanta owner cum CEO till date has he joined n modi,"['Morbi', 'morbitragedy', 'GujaratElections']"
352,desai7055,"⛳मैंने भी एक गुनाह कर दिया
इश्क़ करने की उम्र में 
हिंदुत्व पर लिखना शुरू कर दिया।

🙏 जय श्री राम🙏","चामुंडेरी मेड़तियान,बाली",882,847,11184,4,"Gujarat polls 2022: Bhupendra Patel files nomination from Ghatlodya constituency

Read @ANI Story | https://t.co/Mrcmq5SU7R
#Gujarat #GujaratElections2022 #GujaratElections #GujaratAssemblyElection2022 #BhupendraPatel https://t.co/BVxwUwHFwK",[]
354,snehamordani,"Deputy Editor @IndiaToday Ex @CNNnews18 @TimesNow @NewsX Alumna-LSR, IIJNM, Loreto Convent","Shillong, New Delhi, Noida",2868,19846,22668,5,"AAP claims Surat-East candidate has gone missing 
#ITVideo #IndiasAgenda #GujaratElections | @PoulomiMSaha @snehamordani https://t.co/T2POWPLwfc","['ITVideo', 'IndiasAgenda', 'GujaratElections']"
355,RekhaMusaddi,,,2201,199,9114,2,so finally our daaru mantri @msisodia accepted that they take money for tickets ...we want @ECISVEEP to take action against #AAP ...#Gujarat #GujaratElections #GujaratElections2022 #Gujarat_rejects_AAP https://t.co/tGprtIfAlD,[]
358,shivams97302342,,,0,7,309,85,"#RRB_NTPC_RESULTDO
@PMOIndia @RailMinIndia 
@AshwiniVaishnaw @narendramodi
@RRBKOLKATA @RRB_Recruitment
@Rrbmumbai #GujaratElections 
#HimachalPradeshElections 
#BharatJodaYatra #priyankagandhi 

Declare Rrb ntpc all level Results.
Don't play with career of Ntpc aspirants. https://t.co/UuvIRAiFHr",['RRB_NTPC_RESULTDO']
367,Hirachandpathe1,,,10,3,2562,89,"#RRB_NTPC_RESULTDO
@PMOIndia @RailMinIndia 
@AshwiniVaishnaw @narendramodi
@RRBKOLKATA @RRB_Recruitment #GujaratElections 
#HimachalPradeshElections 
#BharatJodaYatra #priyankagandhi 

Shame on BJP. Declare all level Ntpc results or face the consequences in upcoming elections https://t.co/l3GaSfjEsk",['RRB_NTPC_RESULTDO']
369,Hirachandpathe1,,,10,3,2562,37,"#RRB_NTPC_RESULTDO
#Declare_Ntpc_L5result
@PMOIndia @RailMinIndia 
@AshwiniVaishnaw @narendramodi
@RRBKOLKATA @RRB_Recruitment
@Rrbmumbai #GujaratElections 
#HimachalPradeshElections 
#BharatJodaYatra #priyankagandhi

We are waiting since 4 years. Rrb ntpc https://t.co/NqM00d2TaQ","['RRB_NTPC_RESULTDO', 'Declare_Ntpc_L5result']"
371,vashishtvp,"Working as Senior Engineer in Railway's production unit.
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से
ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो
शायर बशीर बद्","Kapurthala, Punjab - INDIA",5252,5214,527853,4,#Capitalism is responsible for the Morbi Bridge death. The Morbi bridge crime shows clearly how privatisation risks the safety of people. Only by defeating privatisation can we avoid accidents like Morbi bridge in the future. #GujaratElections #CapitalismKills #StopPrivatization https://t.co/KKTkJVH0K5,['Capitalism']
372,kanna362,,"Tamil Nadu, India",586,743,71769,2,"The early release of 11 convicts in the 2002 #BilkisBanoCase has become a talking point ahead of #GujaratElections . But observers are divided on how it will affect the ruling BJP.

https://t.co/ygGokNYEy6","['BilkisBanoCase', 'GujaratElections']"
383,HkGodara_,"#𝗔𝗔𝗣 Worker @AAPRajasthan 📝youths Power✊🏻Private Thoughts ✌Helping Hands 🙏 Animal lover 😊
चौधर अपने दादा के नाम,के दम पर ✊ Senior Member @BishnoiYouth 🤝",मारवाड़ आळे बाळक ( जोधाणा )✌🏻,11376,10353,29396,2,"#GujaratElections   : AAP candidate from Surat (East) from Gujarat, Kanchan Jariwala, takes back his nomination after he was allegedly kidnapped last evening as per #AAP
#BJPKidnapsAAPCandidate",['GujaratElections']
393,awasthiabhi11,"Correspondent @ Mirror Now, Times Network","Mumbai, India",126,60,693,1,"#GujaratElections: After the #AamAadmiParty made a massive charge, saying that BJP has kidnapped their Surat candidate.

Now, #KanchanJariwala who is #AAP's candidate from Surat East has withdrawn his nomination. @awasthiabhi11 reports https://t.co/Ty26vPN6aK","['GujaratElections', 'AamAadmiParty']"
400,AmritlalKishor,"Ret,paersan",,18,10,204,16,"Congress releases a list of star campaigners for #GujaratElections.

Party chief Malliakrjun Kharge, UPA chairperson Sonia Gandhi, party MP Rahul Gandhi, general secy Priyanka Gandhi Vadra, CMs Ashok Gehlot-Bhupesh Baghel, Sachin Pilot, Jignesh Mevani, Kanhaiya Kumar to campaign. https://t.co/wXr3NAGdcS",['GujaratElections']
415,MirrorNow,"We demand accountability | Relentlessly drive improvement | Address people's issues
📺 Tata Play 612, Airtel 394, Videocon d2h/Dish TV 899/733, Sun Direct 570",India,51,117090,213224,0,"#BREAKING | After the #AamAadmiParty made a massive charge, saying that BJP has kidnapped their Surat candidate.

Now, #KanchanJariwala who is #AAP's candidate from Surat East has withdrawn his nomination. #GujaratElections https://t.co/Xicz8qU0nh","['BREAKING', 'AamAadmiParty', 'KanchanJariwala', 'AAP', 'GujaratElections']"
417,68pradeepgupta,,New Delhi,1025,1936,314984,9,"#GujaratElections : Most political parties have announced their candidates for Saurastras’ Morbi seat in #Gujarat  Assembly elections, but none of them has started campaigning in Morbi, where 136 people died on October 30 in a bridge collapse.

@NewIndianXpress @TheMornStandard https://t.co/busAsKxbZu","['GujaratElections', 'Gujarat']"
420,Oneindia,"https://t.co/30Gam1jIun is a gamut of online resources. From breaking stories, top news, current affairs to sports update, movies & entertainment.",India,167,66829,441666,0,"Gujarat Chief Minister Bhupendra Patel visited and offered prayers at Trimandir Temple in Gandhinagar. (ANI)

#GujaratElections #GujaratElections2022 #AssemblyElections2022 #BhupendraPatel 

https://t.co/YDOSOQCb7s https://t.co/5TfmORWgVJ","['GujaratElections', 'GujaratElections2022', 'AssemblyElections2022', 'BhupendraPatel']"
423,iankitvora,HVAC&R Professional | An ordinary ગુજરાતી TaxPayer | #ShivBhakt | Nation First | धर्मो रक्षति रक्षितः | Tweets = Personal View,"Ahmedabad,Gujarat ",872,4335,112477,0,When it’s about business no one can beat Gujaratis. Everything from Party flags to hoarding available at single shop. #Surat #GujaratElections https://t.co/Sv6jJY0oen,"['Surat', 'GujaratElections']"
429,BJPONLYFUTURE,"Cctv Epabx sales and service, proud as
BJP lover.. Not blind follower to any.
pl forgive me if my post's & comments hurts you 🙏 #IndiaIsAHinduNation",,538,211,8609,6,"A glimpse of reality check for @aimim_national!

Modi Modi slogans raised in @asadowaisi's meeting in Gujarat, people showed black flags to the @aimim_national President.

Power &amp; love for our Hon'ble PM Shri @narendramodi Ji in India is unmatchable!

#GujaratElections #Gujarat https://t.co/CRpI7Zh2iL",[]
430,EconomicTimes,"India's No. 1 Business Daily that brings you the latest #news updates | A Times Internet Product
https://t.co/znMsuw7b49",,45,4302922,625546,0,"Delhi | Our candidate from Surat (East) from Gujarat, Kanchan Jariwala has just been brought to Returning Officer's office. He was circled by over 500 policemen &amp; is now being pressured to take his nomination back: AAP leader Manish Sisodia

#GujaratElections 

(ANI) https://t.co/U8gzDZ2F5K",['GujaratElections']
433,raja8sp,,,133,29,189,0,"@TajinderBagga Thanks @Abhinav_Pan for this report! This is so sorry state of Gujarat! @BJP4India is this the Gujarat Model? Where is “Sabka saath, sabka vikas”? Disgusting! #GujaratElections",['GujaratElections']
437,King_Asclepius,Jay_Hind❤️❤️❤️,"Dhanbad, India",120,63,12576,10,"On upon Time in #Gujarat
Viswa-Guru ki Kahani

Which Modi is it❓

The Modi family is steeped in corruption.... TOP to BOTTOM.

#Parivarvad 
#ModiDisasterForIndia
#GujaratElections https://t.co/3zNoznKTG9",['Gujarat']
438,MediaAsd,"Providing Impactful visual journalism from the ASD News.
Our moto is to inform, educate and entertain you.
#StayUpdated #worldwar3",India,251,1032,3648,0,"Union Home Minister Amit Shah and Gujarat CM Bhupendra Patel hold roadshow in Ghatlodiya, Ahmedabad, ahead of nomination filing by Patel for upcoming Assembly elections (ANI)

#ASDNews #AmitShah #GujaratElections #GujaratElection2022 #raodshow #BJP https://t.co/qHKOc5U12a","['ASDNews', 'AmitShah', 'GujaratElections', 'GujaratElection2022', 'raodshow', 'BJP']"
439,HardikPatel4IND,"यदा यदा हि धर्मस्य ग्लानिर्भवति भारत।


























अभ्युत्थानमधर्मस्य तदाऽऽत्मानं सृजाम्यहम्",India,4828,220,11597,0,"Is there a picture shooting going on in #Gujarat #GujaratElections

People are shouting that it's kidnapping and missing of the whole family #KanchaJariwala 

Pls take the help of Special Forces","['Gujarat', 'GujaratElections', 'KanchaJariwala']"
440,indiatvnews,India’s most watched Hindi News Channel. Follow for latest/breaking News Alerts from all over the Globe. FB:https://t.co/IJtJpoipue,India,29,2183240,681438,1,"Gujarat polls: CM @Bhupendrapbjp holds roadshow with @AmitShah ahead of nomination filing in Ghatlodiya | WATCH

#GujaratAssemblyElection2022
#GujaratElections 
#Roadshow

https://t.co/IeticO7ePx","['GujaratAssemblyElection2022', 'GujaratElections', 'Roadshow']"
441,ady18patel,"Friends....views are personal, जो भारत को अपनी माता मानते हैं वे हिन्दू है↓
वक्रतुंड महाकाय सूर्यकोटि समप्रभ । 
निर्विघ्नं कुरु मे देव सर्वकार्येषु सर्वदा।। 🙏", INDIA ,1349,235,16110,0,"From the first class, Teacher has taught that ""K"" is the lotus's !""
Congress ""K"" is not taught at all.
So Congress does not sit in the mind. #GujaratElections",['GujaratElections']
444,swagatosaha2022,Intermediate Student of ICAI. Interested in share market & Space Story. Wish to make a Limited Liability Partnership with my friends to do business.,"Kolkata, West Bengal, India",333,67,1686,0,"bjp offices v/s BJP SCHOOLS
#GujaratElections
@ArvindKejriwal 
#Gujarat https://t.co/Udt3qmg1nF","['GujaratElections', 'Gujarat']"
446,Hasmukhdesai10,"President Surat city district congress committee @INCIndia 

@INCGujarat","Surat, Gujarat",303,642,2733,3,"#GujaratElections : ""Bhupendra Patel of #BJP was made the Chief Minister while he was sleeping, this is how BJP runs #Gujarat, "" said Congress Leader @kanhaiyakumar during a Rally organized at Vadgam in north Gujarat,

@NewIndianXpress @TheMornStandard @santwana99 https://t.co/aRV5dMcVN8","['GujaratElections', 'BJP']"
450,Hasmukhdesai10,"President Surat city district congress committee @INCIndia 

@INCGujarat","Surat, Gujarat",303,642,2733,6,"#GujaratElections :  Cricketer Ravindra Jadeja's wife Rivaba Jadeja is a candidate from Jamnagar North. In this seat, Jadeja's sister is campaigning on behalf of Opposition Congress and making every effort to defeat her sister-in-law.

@NewIndianXpress @TheMornStandard https://t.co/9NESPmbfGA",['GujaratElections']
453,CNNnews18,"Official Twitter account of CNN-News18. Lightning fast alerts, #BreakingNews from India and the world. 

Telegram : https://t.co/2gZo0Ej5y9",India,399,4737741,1003508,0,"#Breaking | Union Home Minister Amit Shah's mega roadshow in #Gujarat

@siddhantvm shares details with @toyasingh 

#GujaratElections https://t.co/XxSLOs2QAs","['Breaking', 'Gujarat', 'GujaratElections']"
457,TheMornStandard,Delhi's newest daily from @NewIndianXpress' Madurai group.,"New Delhi, India",24,2445,15712,0,"#GujaratElections | Our candidate Kanchan Jariwala from Surat East seat has been kidnapped by BJP. - Raghav Chadha 
@NewIndianXpress @santwana99 https://t.co/IynPTKTjT4",['GujaratElections']
460,iam_vkp,"धर्म से पंडित - कर्म से इंसान !
न जात की...
न पात की...
बात करूंगा तो सिर्फ आपकी ! 
🇮🇳
✍पत्रकार @TheNetworkMedia&Publications 
ex- @swadeshVaani , @Sdnews","Jharkhand, India",1228,80,1191,0,"It can be even AAP's strategy to connect emotionally and get the sympathy need.. Or...
You never know until the truth unfolds .
#Gujarat #GujaratElection2022 #GujaratElections @ArvindKejriwal @AamAadmiParty @BJP4Gujarat @AAPGujarat @BJP4India https://t.co/zP0hgSFY97","['Gujarat', 'GujaratElection2022', 'GujaratElections']"
